Book,Chapter,RefID,Character
ADWD,52,ADWD52,Theon
ADWD,53,ADWD53,Daenerys
ADWD,54,ADWD54,Jon
ADWD,55,ADWD55,Cersei
ADWD,56,ADWD56,Barristan
ADWD,57,ADWD57,Victarion
ADWD,58,ADWD58,Tyrion
ADWD,59,ADWD59,Jon
ADWD,60,ADWD60,Barristan
ADWD,61,ADWD61,Quentyn
ADWD,62,ADWD62,Connington
ADWD,63,ADWD63,Asha
ADWD,64,ADWD64,Victarion
ADWD,65,ADWD65,Arya
ADWD,66,ADWD66,Cersei
ADWD,67,ADWD67,Tyrion
ADWD,68,ADWD68,Barristan
ADWD,69,ADWD69,Quentyn
ADWD,70,ADWD70,Jon
ADWD,71,ADWD71,Barristan
ADWD,72,ADWD72,Daenerys
ADWD,73,ADWD73,Kevan
