Book,Chapter,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
ASOS,15,3,0,0,1,2,8,9,14,5,8,50,365,7.3
ASOS,16,2,0,0,0,5,4,12,14,10,7,54,407,7.537037037
ASOS,17,0,0,1,2,6,12,11,9,0,5,46,312,6.782608696
ASOS,18,1,0,1,1,2,11,14,9,2,4,45,312,6.933333333
ASOS,19,1,0,0,1,0,4,1,7,23,15,52,449,8.634615385
ASOS,20,1,0,0,0,0,4,3,18,13,10,49,407,8.306122449
ASOS,21,0,0,0,0,1,2,9,18,9,6,45,365,8.111111111
ASOS,22,2,0,0,0,1,0,1,8,24,13,49,424,8.653061224
ASOS,23,1,0,0,0,2,7,15,13,2,5,45,330,7.333333333
ASOS,24,0,0,0,0,2,4,11,17,4,7,45,353,7.844444444
ASOS,25,1,0,0,0,0,0,6,12,11,25,55,488,8.872727273
ASOS,26,0,1,0,0,1,4,12,12,12,5,47,369,7.85106383
ASOS,27,1,0,0,1,1,2,11,15,8,6,45,351,7.8
ASOS,28,0,0,1,0,1,0,4,4,15,34,59,543,9.203389831
ASOS,29,1,0,0,1,2,2,7,13,11,13,50,409,8.18
ASOS,30,2,0,0,1,3,4,12,16,4,5,47,343,7.29787234
ASOS,31,2,1,0,0,2,6,17,9,4,8,49,357,7.285714286
ASOS,32,3,0,0,0,1,2,7,17,10,10,50,395,7.9
ASOS,33,1,0,1,1,1,7,21,7,2,5,46,326,7.086956522
ASOS,34,1,1,0,0,0,2,3,10,18,14,49,418,8.530612245
ASOS,35,2,1,0,0,0,2,3,10,16,17,51,431,8.450980392
ASOS,36,1,1,0,0,3,8,17,6,4,4,44,309,7.022727273
ASOS,37,0,0,0,0,2,1,4,15,9,14,45,385,8.555555556
ASOS,38,1,0,0,1,0,0,3,6,17,21,49,437,8.918367347
ASOS,39,1,0,0,0,0,2,6,15,9,13,46,386,8.391304348
ASOS,40,2,0,0,1,2,5,13,11,3,6,43,312,7.255813953
ASOS,41,1,2,1,0,1,4,13,20,4,8,54,404,7.481481481
ASOS,42,2,0,1,0,1,0,6,15,17,13,55,455,8.272727273
ASOS,43,1,0,0,0,0,5,6,13,12,15,52,435,8.365384615
ASOS,44,2,1,2,0,0,3,12,19,8,6,53,396,7.471698113
ASOS,45,2,0,1,1,2,5,6,12,22,19,70,575,8.214285714
