Book,Chapter,RefID,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
AFFC,10,AFFC10,0,0,0,1,5,20,14,12,1,2,55,372,6.763636364
AFFC,11,AFFC11,3,3,0,0,1,2,17,13,10,7,56,409,7.303571429
AFFC,12,AFFC12,3,1,0,0,3,13,11,16,5,3,55,378,6.872727273
AFFC,13,AFFC13,2,0,1,2,0,2,14,13,7,3,44,320,7.272727273
AFFC,14,AFFC14,2,0,0,0,4,12,15,6,5,4,48,332,6.916666667
AFFC,15,AFFC15,0,1,2,1,2,11,13,10,1,3,44,298,6.772727273
AFFC,16,AFFC16,2,0,1,3,2,12,12,10,1,4,47,312,6.638297872
AFFC,17,AFFC17,3,2,2,0,2,5,10,14,4,7,49,341,6.959183673
AFFC,18,AFFC18,4,0,1,1,2,7,8,17,4,10,54,391,7.240740741
AFFC,19,AFFC19,1,0,0,1,3,6,23,7,4,5,50,359,7.18
AFFC,20,AFFC20,4,0,1,0,2,6,11,10,7,11,52,383,7.365384615
AFFC,21,AFFC21,1,1,0,0,2,4,9,13,9,6,45,345,7.666666667
AFFC,22,AFFC22,1,0,0,1,3,5,10,13,9,5,47,355,7.553191489
AFFC,23,AFFC23,0,3,0,1,0,7,2,15,9,6,43,327,7.604651163
AFFC,24,AFFC24,2,2,0,0,0,5,8,11,8,7,43,322,7.488372093
AFFC,25,AFFC25,3,0,0,0,0,4,12,8,6,3,36,259,7.194444444
AFFC,26,AFFC26,1,0,1,2,1,2,8,15,2,5,37,273,7.378378378
AFFC,27,AFFC27,0,0,0,0,3,2,8,15,5,3,36,278,7.722222222
AFFC,28,AFFC28,0,1,0,0,0,3,10,12,6,4,36,280,7.777777778
AFFC,29,AFFC29,3,0,1,0,2,3,9,9,7,3,37,262,7.081081081
AFFC,30,AFFC30,2,2,0,0,0,4,4,14,9,6,41,311,7.585365854
AFFC,31,AFFC31,2,0,1,0,0,3,9,10,9,3,37,277,7.486486486
AFFC,32,AFFC32,1,0,0,0,1,3,4,22,8,3,42,330,7.857142857
AFFC,33,AFFC33,2,0,1,0,4,4,12,19,6,6,54,399,7.388888889
